t_s	cpu_pct	rss_kb	threads
0	2.1	72000	
5	1.9	71872	
10	1.5	71968	
15	2.2	71968	
20	3.4	71872	
25	1.6	71872	
30	1.5	71872	
35	3.7	71872	
40	3.6	72000	
45	2.0	71952	
50	2.3	71952	
55	2.1	47616	
60	1.8	47616	
65	3.3	47616	
70	0.8	47616	
75	2.3	47632	
80	2.4	47632	
85	3.3	47632	
90	1.5	47664	
95	2.1	47664	
100	3.6	47664	
105	1.8	47664	
110	3.0	47664	
115	1.5	47664	
120	2.2	47664	
125	2.1	47664	
130	3.8	47664	
135	1.6	47664	
140	1.2	47664	
145	1.8	39120	
150	1.1	39088	
155	1.6	39120	
160	2.5	39312	
165	3.8	39312	
170	2.2	39312	
175	2.1	39312	
180	1.6	39312	
185	2.4	39312	
190	3.9	39312	
195	1.8	39312	
200	2.3	39312	
205	3.7	39312	
210	3.7	39312	
215	2.1	39312	
220	3.5	39312	
225	1.7	39312	
230	2.2	39312	
235	1.6	39312	
240	1.6	39312	
245	1.6	39312	
250	2.5	39312	
255	3.6	39312	
260	2.3	39312	
265	2.2	39344	
270	1.4	39344	
275	2.0	39344	
280	3.3	39856	
285	3.6	39872	
290	1.6	39952	
295	2.2	39856	
300	3.4	39856	
305	2.3	39856	
310	2.5	39904	
315	3.4	40080	
320	1.6	39984	
325	2.4	39984	
330	3.4	39984	
335	1.6	39984	
340	1.7	39984	
345	1.6	39984	
350	1.4	39760	
355	2.0	39792	
360	3.6	39792	
365	1.7	39200	
370	1.2	39120	
375	3.3	39136	
380	1.4	39136	
385	2.0	39136	
390	3.1	39136	
395	1.3	38960	
400	1.5	39008	
405	2.4	39024	
410	3.7	39024	
415	1.9	39072	
420	3.0	39072	
425	3.1	39120	
430	2.1	39136	
435	3.4	39136	
440	1.5	39136	
445	1.3	39136	
450	2.4	39072	
455	3.4	39072	
460	1.0	38944	
465	2.4	39056	
470	2.8	39120	
475	2.1	39120	
480	3.6	39120	
485	3.6	39136	
490	1.6	39136	
495	2.3	39136	
500	2.1	39136	
505	0.8	39136	
510	2.5	39136	
515	3.6	39136	
520	1.9	39136	
525	2.2	39136	
530	3.3	39136	
535	1.7	39136	
540	2.1	39136	
545	3.4	39168	
550	1.7	39168	
555	1.2	39168	
560	3.7	39168	
565	1.4	39168	
570	2.4	39792	
575	2.5	39760	
580	3.7	39760	
585	2.2	39760	
590	3.5	39760	
595	1.5	39760	
