t_s	cpu_pct	rss_kb
0	0.8	69056
5	1.0	75056
10	1.3	75504
15	1.5	78192
20	1.5	80176
25	0.9	84736
30	0.9	86704
35	1.0	86704
40	0.9	86704
45	1.1	86704
50	1.9	88800
55	0.9	78608
60	1.5	78928
65	1.3	79232
70	3.0	77280
75	1.2	77280
80	1.3	77280
85	1.4	77280
90	1.6	77280
95	1.2	77520
100	1.2	77520
105	1.3	77520
110	0.9	77520
115	1.5	77520
120	1.5	77520
125	15.9	79936
130	1.0	79936
135	1.2	79936
140	1.1	79936
145	1.3	79936
150	2.1	79936
155	1.6	79936
160	1.3	79936
165	1.1	79936
170	1.3	79936
175	1.0	79936
180	0.9	79936
185	0.9	79936
190	0.9	80128
195	1.3	80256
200	1.2	80256
205	0.9	80256
210	1.3	80256
215	25.6	80272
220	1.0	80272
225	1.1	80272
230	4.3	80272
235	0.9	79376
240	1.3	79376
245	1.3	79376
250	16.2	79376
255	1.2	79376
260	0.9	79376
265	1.3	79376
270	1.1	79376
275	0.9	79552
280	1.0	79504
285	0.9	79312
290	1.0	79184
295	1.2	79184
300	1.3	79184
305	1.2	79184
310	2.4	79184
315	1.3	79168
320	0.6	79168
325	1.0	79168
330	1.0	79344
335	0.8	79344
340	0.8	57664
345	1.8	57664
350	1.0	57664
355	8.0	57680
360	0.9	57680
365	1.2	57680
370	0.9	57680
375	1.0	57680
380	1.3	57680
385	1.0	52736
390	1.5	54304
395	1.3	56848
400	0.9	57808
405	0.8	57824
410	0.9	57824
415	0.9	57872
420	1.0	57904
425	0.9	57904
430	0.9	57904
435	1.1	57904
440	1.0	57904
445	1.2	57904
450	0.7	58496
455	0.9	58464
460	0.9	58592
465	0.9	58544
470	0.9	58544
475	0.7	58544
480	0.5	58544
485	0.7	58544
490	0.9	58544
495	0.9	54064
500	1.1	54096
505	0.7	54048
510	0.8	54048
515	0.8	53952
520	0.8	53952
525	0.9	53952
530	1.1	53952
535	1.0	53952
540	0.8	53952
545	0.9	53952
550	0.8	53952
555	0.9	51024
560	0.8	45200
565	0.9	30368
570	0.9	30688
575	1.0	30992
580	0.8	31312
585	0.9	31632
590	0.8	31936
595	0.8	32048
